test_id,customer_message,gold_intent,predicted_intent,intent_confidence,retrieval_similarity,overall_confidence,escalation_status,failure_pattern,error_explanation,retrieved_customer_message,retrieved_response
3,@AmazonHelp fuck u &amp; ur company. I am a prime member. Its been a week now since I placed my order &amp; it isnt delivered yet. I'm cancelling my (1/2),Prime Membership & Benefits,Delivery & Tracking,0.2938,0.2706,0.2799,ESCALATE,Delivery Keyword Bias,"Customer mentioned delivery/shipping/order delay while complaining about an underlying product/prime/account issue, triggering high-prior Delivery & Tracking class.",@AmazonHelp I am a prime member,"@283011 As a Prime Member, you'll get early access to this sale @1871.30pm, while the sale starts @13452.00pm. The details on EMI will be available on the product page, you may check it there. ^SF"
4,#AmazonIndia where is my ghar ki dukaan now? When i m looking for it. First deliver faulty products and tn not replacing it.,Product Problems,Delivery & Tracking,0.3322,0.2503,0.2831,ESCALATE,Dominant Class Prior,Classifier defaulted to majority class Delivery & Tracking due to insufficient strong intent signals in short customer tweet.,@AmazonHelp Why are sending defective items to customers. And then not replacing it,@350050 and we shall get back to you on this. 2/2 ^SH
7,@AmazonHelp it’s not letting me cancel my order please help?,Order Management,Delivery & Tracking,0.2627,0.5822,0.4544,SUGGESTED_RESPONSE,Delivery Keyword Bias,"Customer mentioned delivery/shipping/order delay while complaining about an underlying product/prime/account issue, triggering high-prior Delivery & Tracking class.",@AmazonHelp It’s not letting me copy the link,"@121892 You should be able to tap/click on that link. If not, can you please use another device to see if it works? ^RL"
8,Finally today I've sent an invitation for Amazon Echo Dot &amp; now waiting for the confirmation mail from @115850 so existed can't wait to get the hands on it :),Digital Services & Devices,Delivery & Tracking,0.2017,0.364,0.2991,ESCALATE,Dominant Class Prior,Classifier defaulted to majority class Delivery & Tracking due to insufficient strong intent signals in short customer tweet.,"@AmazonHelp Yes, can’t wait to get my hands on it. 😁😁",@338261 We're sure the wait will be worth it. ^CB
9,@AmazonHelp hi I ordered a sampoo from Amazon pantry and got a completely spilt product . What should I do?,Product Problems,Delivery & Tracking,0.2217,0.4345,0.3494,SUGGESTED_RESPONSE,Delivery Keyword Bias,"Customer mentioned delivery/shipping/order delay while complaining about an underlying product/prime/account issue, triggering high-prior Delivery & Tracking class.",@AmazonHelp What should i do?,"@182574 Hi, sorry to hear that. When you look at your orders, is the hardcover listed or the audiobook? ^JJ"
10,What's a fun way to start your morning? Is it arguing with @Amazonhelp to get back the $40 dollars that was supposed to be refunded to you?,Returns & Refunds,Delivery & Tracking,0.1891,0.257,0.2299,ESCALATE,Dominant Class Prior,Classifier defaulted to majority class Delivery & Tracking due to insufficient strong intent signals in short customer tweet.,@AmazonHelp To encantada 😍😍😍😍😍❤❤❤❤❤❤,"@151194 Nós também 💕. Me diga, o que comprou 👀? ^MB"
14,@AmazonHelp I never returned this!!!! I never received this. https://t.co/pxntgHK39h,Returns & Refunds,Delivery & Tracking,0.233,0.454,0.3656,SUGGESTED_RESPONSE,Dominant Class Prior,Classifier defaulted to majority class Delivery & Tracking due to insufficient strong intent signals in short customer tweet.,@AmazonHelp I never received one.,@607791 We'd like another chance to take a look into this with you. Please reach us via phone/chat here: https://t.co/hApLpMlfHN ^KP
15,"@115821 WORST experience. Guar. delivery, mark delivered, No show for 2 days, Ask where it is, they offer to refund, but charge me shipping? https://t.co/wU2tok9Et7",Returns & Refunds,Delivery & Tracking,0.3305,0.2102,0.2583,ESCALATE,Delivery Keyword Bias,"Customer mentioned delivery/shipping/order delay while complaining about an underlying product/prime/account issue, triggering high-prior Delivery & Tracking class.",@115821 worst customer service #myhusbandjustwantshisdarnbook #thirdpartynmp,"@227093 I am sorry to hear this, Sabrina. When was the book due to be delivered? Have you contacted the seller to highlight the issue with them?^SM"
16,@AmazonHelp I tried the chat team earlier. They said someone would email me. So will wait and see what they say I guess. Is there a way to cast to the Echo from the App?,Digital Services & Devices,Delivery & Tracking,0.1724,0.3569,0.2831,ESCALATE,Dominant Class Prior,Classifier defaulted to majority class Delivery & Tracking due to insufficient strong intent signals in short customer tweet.,"@AmazonHelp Contacted Customer Service regarding this now, will wait and see what they say.",@247919 Please keep us informed how things go. ^DO
19,"@AmazonHelp my order wasn’t packaged, just had a shipping label stuck on the cellophane and now my dad knows what his Christmas present is #frustrated https://t.co/KwBdOlSgTW",Order Management,Delivery & Tracking,0.2812,0.266,0.2721,ESCALATE,Delivery Keyword Bias,"Customer mentioned delivery/shipping/order delay while complaining about an underlying product/prime/account issue, triggering high-prior Delivery & Tracking class.",@AmazonHelp Biscuits...a Christmas present for my grandad,"@328939 Apologies, Laura. You can view your return options here:https://t.co/ML7M34jPSm.^CN"
20,@119625 Unable to join prime using primevideo app. Just presents a blank screen when I click on Join Prime.,Digital Services & Devices,Prime Membership & Benefits,0.2971,0.4319,0.378,SUGGESTED_RESPONSE,Digital vs Prime Overlap,"Query discusses Prime Video / Prime Music on an Amazon device/app, confounding Prime subscription with Digital device/service.","@119625 @AmazonHelp unable to join prime, no further text box coming after this screen!!! https://t.co/43lfYxyegs",@660251 That's unusual. Please connect with us here: https://t.co/vlvfJr4nN9 for live assistance. ^HK
23,@115821 @AmazonHelp I can’t even sign on your app or on the online website . It keeps telling me my password is wrong and I know it’s not,Account & Login,Delivery & Tracking,0.2514,0.3525,0.3121,SUGGESTED_RESPONSE,Dominant Class Prior,Classifier defaulted to majority class Delivery & Tracking due to insufficient strong intent signals in short customer tweet.,"@116935 

Yr app on ipad keeps telling me my password is wrong - i am uninstalling and unsubscribing 30 mins after getting it",@158521 Have you tried resetting your password? ^KH
24,@AmazonHelp You already have my order details from the screenshots I provided... Go ahead and do your research and correct the issue,Order Management,Returns & Refunds,0.1674,0.2631,0.2248,ESCALATE,Order Lifecycle Ambiguity,Order cancellation or modification overlaps heavily in terminology with returns and order delivery tracking.,@AmazonHelp You already know the issue.  #404-4139617-3649915.,"@355292 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^VN (2/2)"
26,Yo @115830 stop putting my account on hold! I just got it off hold yesterday and it's already back on hold and orders cancelled wtf!?,Account & Login,Delivery & Tracking,0.2462,0.5361,0.4201,SUGGESTED_RESPONSE,Delivery Keyword Bias,"Customer mentioned delivery/shipping/order delay while complaining about an underlying product/prime/account issue, triggering high-prior Delivery & Tracking class.",@AmazonHelp AAAAAAAAAAAAND  back on hold 😂,@405314 We want to make sure that you get taken care of. Please keep us posted on the outcome of your phone call. ^KP
29,"@115850 Ordrd Ext-Hard Disk by payng Rs100 fr 1 day delivery but the product is defective,now reqsted for replacmnet and it says it will take 3 days time!! Plz tell my fault for defective product and for what I paid extra money?!!",Product Problems,Delivery & Tracking,0.3863,0.2675,0.315,SUGGESTED_RESPONSE,Delivery Keyword Bias,"Customer mentioned delivery/shipping/order delay while complaining about an underlying product/prime/account issue, triggering high-prior Delivery & Tracking class.",@AmazonHelp Defective product https://t.co/V57dd68EEH,"@206653 Rakesh, as mentioned earlier, please share the details via the link provided earlier and we'll reach out to you. ^MS"
