sample_id,customer_message,gold_intent,predicted_intent,agent_status,agent_response,overall_confidence,similarity_score,top_retrieved_result,escalation_reason,llm_relevance,llm_helpfulness,llm_groundedness,llm_no_unsupported_claims,llm_professional_tone,llm_overall,llm_reason
1,"@AmazonHelp Apparently the call was intended for a query on my girlfriend's account, not mine, as we have a joint prime account.",Account & Login,Account & Login,SUGGESTED_RESPONSE,"@706260 Just to clarify, you do you have someone else listed under your Prime household? You can find more about that here: https://t.co/orsSu9tOf1 ^MW",0.3059,0.2663,"@AmazonHelp Well, my girlfriend does have an account but she's not able to use her's on the Kindle because I have Amazon Prime on mine and another user. So if my girlfriend uses her account, she won't get Prime stuff",None (Confident suggestion),3,3,3,5,5,3,Pending Ollama judge evaluation
2,@115850 order id: 229157698995. I ordered it on 18th Oct and today is 27th Oct. I am very disappointed this time. Please deliver it ASAP.,Delivery & Tracking,Delivery & Tracking,SUGGESTED_RESPONSE,@350170 Please don’t provide your details here as we consider them to be personal information. Our page is visible to public. ^GS,0.3055,0.2752,".@115850 So ""404-5686723-6364350"" is the order number, expected arrival on 18th Oct, used Amazon Prime. Nothing till now, pathetic.",None (Confident suggestion),3,3,3,5,5,3,Pending Ollama judge evaluation
3,@AmazonHelp fuck u &amp; ur company. I am a prime member. Its been a week now since I placed my order &amp; it isnt delivered yet. I'm cancelling my (1/2),Prime Membership & Benefits,Delivery & Tracking,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2214,0.2413,Wait! It isnt my order #catstagram #chartreux @116875 https://t.co/j0uoYAn7wa,Low intent confidence & low retrieval similarity,3,3,3,5,5,3,Pending Ollama judge evaluation
4,#AmazonIndia where is my ghar ki dukaan now? When i m looking for it. First deliver faulty products and tn not replacing it.,Product Problems,Delivery & Tracking,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2438,0.2503,@AmazonHelp Why are sending defective items to customers. And then not replacing it,Low intent confidence & low retrieval similarity,3,3,3,5,5,3,Pending Ollama judge evaluation
5,"@115821 I got charged for amazon music but I didn't use it at all. I just cancelled it, can I get a refund or is it too late?",Payment & Charges,Payment & Charges,SUGGESTED_RESPONSE,@272561 I'm sorry for the unexpected charge. We'd like to review your available options here: https://t.co/hApLpMlfHN ^RA,0.3128,0.1798,"@115821 I've been charged $4.99 a month for a ""channel"" I never signed up for! I just cancelled it but I want my money back too!",None (Confident suggestion),3,3,3,5,5,3,Pending Ollama judge evaluation
6,@115850 Unable to call customercare. please cll me 9769909024. I am a prime customer and product promis 1 day delivery but its 6days now,Delivery & Tracking,Delivery & Tracking,SUGGESTED_RESPONSE,"@337621 I see that you are unable to reach us, please connect with us here: https://t.co/TK4yevTaND. ^AH",0.3318,0.2823,@115850 unable to contact your customer care.please help.,None (Confident suggestion),3,3,3,5,5,3,Pending Ollama judge evaluation
7,@AmazonHelp it’s not letting me cancel my order please help?,Order Management,Order Management,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.133,0.0,None,No historical candidates found for intent: Order Management,3,3,3,5,5,3,Pending Ollama judge evaluation
8,Finally today I've sent an invitation for Amazon Echo Dot &amp; now waiting for the confirmation mail from @115850 so existed can't wait to get the hands on it :),Digital Services & Devices,Digital Services & Devices,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2467,0.2837,Amazon echo dot 開封の儀。 https://t.co/Wq3Kz8Vhcn,Low intent confidence & low retrieval similarity,3,3,3,5,5,3,Pending Ollama judge evaluation
9,@AmazonHelp hi I ordered a sampoo from Amazon pantry and got a completely spilt product . What should I do?,Product Problems,Product Problems,SUGGESTED_RESPONSE,@312369 That's strange. Kindly report this to our team here: https://t.co/T6y6Xlutbs. They'll look into this for you. ^VN,0.3071,0.3392,@115850 What should I do ? https://t.co/MyFzxbYgy3,None (Confident suggestion),3,3,3,5,5,3,Pending Ollama judge evaluation
10,What's a fun way to start your morning? Is it arguing with @Amazonhelp to get back the $40 dollars that was supposed to be refunded to you?,Returns & Refunds,Returns & Refunds,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2245,0.257,@AmazonHelp To encantada 😍😍😍😍😍❤❤❤❤❤❤,Low intent confidence & low retrieval similarity,3,3,3,5,5,3,Pending Ollama judge evaluation
11,"@AmazonHelp Dear Sir, 
One thing I am not getting  your customer care asking me to reply from an authenticated  Email Id from which I have ordered. __email__ is the only email Id I have in my life . I sent screenshots of my account also.",Account & Login,Account & Login,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2706,0.2766,@AmazonHelp Listen i have no new email in my id. its there in my amazon account to which i have alreday linked my email id.,Low retrieval similarity (insufficient historical precedent),3,3,3,5,5,3,Pending Ollama judge evaluation
12,"@117795 hey guys, my order is missing. No sign of your messenger nor of any of the items I paid for. What’s up? It’s way past the delivery window.",Delivery & Tracking,Delivery & Tracking,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2829,0.2572,"@AmazonHelp Morning, still no sign of my package",Low retrieval similarity (insufficient historical precedent),3,3,3,5,5,3,Pending Ollama judge evaluation
13,Not sure I’ll be renewing my @115830 @amazonhelp Prime membership now. https://t.co/YPbw9akaRF,Prime Membership & Benefits,Prime Membership & Benefits,SUGGESTED_RESPONSE,"@468403 I'm very sorry to hear this, Lisa. Has your order still not arrived? Most deliveries can be made until 21:00. ^TH",0.3982,0.3883,@AmazonHelp #stillwaiting @115830 after being a prime member for 10+ years I definitely won’t be renewing my prime membership #notworththemoney,None (Confident suggestion),3,3,3,5,5,3,Pending Ollama judge evaluation
14,@AmazonHelp I never returned this!!!! I never received this. https://t.co/pxntgHK39h,Returns & Refunds,Product Problems,SUGGESTED_RESPONSE,@318598 Kindly reach out to our support team here: https://t.co/R3EfhzgU8B. We'll definitely look into it. 2/2 ^PS,0.3252,0.3909,@AmazonHelp Ordee this https://t.co/mknXYG8uKx,None (Confident suggestion),3,3,3,5,5,3,Pending Ollama judge evaluation
15,"@115821 WORST experience. Guar. delivery, mark delivered, No show for 2 days, Ask where it is, they offer to refund, but charge me shipping? https://t.co/wU2tok9Et7",Returns & Refunds,Delivery & Tracking,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2255,0.2094,@AmazonHelp Ordered a men's one piece Cabral tonight called Amazon 2 see where it is they don't know where it is I needed 4 tonight for. Kids function,Low intent confidence & low retrieval similarity,3,3,3,5,5,3,Pending Ollama judge evaluation
16,@AmazonHelp I tried the chat team earlier. They said someone would email me. So will wait and see what they say I guess. Is there a way to cast to the Echo from the App?,Digital Services & Devices,Digital Services & Devices,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.1912,0.1888,@AmazonHelp Tried the Android app and https://t.co/HhingwPEw6,Low intent confidence & low retrieval similarity,3,3,3,5,5,3,Pending Ollama judge evaluation
17,@AmazonHelp you want me to fill a form after 7 days 6 chats 4 phone calls 5 emails . ryt lemme do that too :) lets see how many more days it takes for you all to deliver your own product amazon echo,Delivery & Tracking,Returns & Refunds,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2185,0.259,"@AmazonHelp Already done, how many times do I have to fill a form for a product ?",Low intent confidence & low retrieval similarity,3,3,3,5,5,3,Pending Ollama judge evaluation
18,"@115821 @AmazonHelp you will short it out as soon as possible.
Courier: Amazon Transportation Services, Tracking #: 215171288250
ORDER # 404-1602495-2254700",Delivery & Tracking,Order Management,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.0734,0.0,None,No historical candidates found for intent: Order Management,3,3,3,5,5,3,Pending Ollama judge evaluation
19,"@AmazonHelp my order wasn’t packaged, just had a shipping label stuck on the cellophane and now my dad knows what his Christmas present is #frustrated https://t.co/KwBdOlSgTW",Order Management,Delivery & Tracking,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2301,0.266,@AmazonHelp Biscuits...a Christmas present for my grandad,Low intent confidence & low retrieval similarity,3,3,3,5,5,3,Pending Ollama judge evaluation
20,@119625 Unable to join prime using primevideo app. Just presents a blank screen when I click on Join Prime.,Digital Services & Devices,Prime Membership & Benefits,SUGGESTED_RESPONSE,@660251 That's unusual. Please connect with us here: https://t.co/vlvfJr4nN9 for live assistance. ^HK,0.3891,0.4319,"@119625 @AmazonHelp unable to join prime, no further text box coming after this screen!!! https://t.co/43lfYxyegs",None (Confident suggestion),3,3,3,5,5,3,Pending Ollama judge evaluation
