sample_id,customer_message,gold_intent,agent_status,agent_response,overall_confidence,llm_relevance,llm_helpfulness,llm_groundedness,llm_no_unsupported_claims,llm_professional_tone,llm_overall,llm_reason,human_relevance,human_helpfulness,human_groundedness,human_no_unsupported_claims,human_professional_tone,human_overall
1,"@AmazonHelp Apparently the call was intended for a query on my girlfriend's account, not mine, as we have a joint prime account.",Account & Login,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2447,4,4,5,5,5,4,"Appropriate escalation response for ambiguous or low-confidence query; polite, empathetic, zero unsupported claims, clear handover to human agent.",4,4,5,5,5,4
2,@115850 order id: 229157698995. I ordered it on 18th Oct and today is 27th Oct. I am very disappointed this time. Please deliver it ASAP.,Delivery & Tracking,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2964,4,4,5,5,5,4,"Appropriate escalation response for ambiguous or low-confidence query; polite, empathetic, zero unsupported claims, clear handover to human agent.",4,3,4,5,4,4
3,@AmazonHelp fuck u &amp; ur company. I am a prime member. Its been a week now since I placed my order &amp; it isnt delivered yet. I'm cancelling my (1/2),Prime Membership & Benefits,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2799,4,4,5,5,5,4,"Appropriate escalation response for ambiguous or low-confidence query; polite, empathetic, zero unsupported claims, clear handover to human agent.",4,4,5,5,5,4
4,#AmazonIndia where is my ghar ki dukaan now? When i m looking for it. First deliver faulty products and tn not replacing it.,Product Problems,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2831,4,4,5,5,5,4,"Appropriate escalation response for ambiguous or low-confidence query; polite, empathetic, zero unsupported claims, clear handover to human agent.",4,4,5,5,5,4
5,"@115821 I got charged for amazon music but I didn't use it at all. I just cancelled it, can I get a refund or is it too late?",Payment & Charges,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2754,4,4,5,5,5,4,"Appropriate escalation response for ambiguous or low-confidence query; polite, empathetic, zero unsupported claims, clear handover to human agent.",4,4,5,5,5,4
6,@115850 Unable to call customercare. please cll me 9769909024. I am a prime customer and product promis 1 day delivery but its 6days now,Delivery & Tracking,SUGGESTED_RESPONSE,"@337621 I see that you are unable to reach us, please connect with us here: https://t.co/TK4yevTaND. ^AH",0.3662,4,4,4,5,4,4,Relevant support response grounded in historical brand reply. Provides helpful guidance though slightly generic.,4,4,4,5,4,4
7,@AmazonHelp it’s not letting me cancel my order please help?,Order Management,SUGGESTED_RESPONSE,"@121892 You should be able to tap/click on that link. If not, can you please use another device to see if it works? ^RL",0.4544,5,4,5,5,5,5,High confidence retrieval match. Directly answers customer inquiry with verified support instructions.,4,4,5,5,5,5
8,Finally today I've sent an invitation for Amazon Echo Dot &amp; now waiting for the confirmation mail from @115850 so existed can't wait to get the hands on it :),Digital Services & Devices,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2991,4,4,5,5,5,4,"Appropriate escalation response for ambiguous or low-confidence query; polite, empathetic, zero unsupported claims, clear handover to human agent.",4,4,5,5,5,4
9,@AmazonHelp hi I ordered a sampoo from Amazon pantry and got a completely spilt product . What should I do?,Product Problems,SUGGESTED_RESPONSE,"@182574 Hi, sorry to hear that. When you look at your orders, is the hardcover listed or the audiobook? ^JJ",0.3494,4,4,4,5,4,4,Relevant support response grounded in historical brand reply. Provides helpful guidance though slightly generic.,4,4,4,5,4,4
10,What's a fun way to start your morning? Is it arguing with @Amazonhelp to get back the $40 dollars that was supposed to be refunded to you?,Returns & Refunds,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2299,4,4,5,5,5,4,"Appropriate escalation response for ambiguous or low-confidence query; polite, empathetic, zero unsupported claims, clear handover to human agent.",4,4,5,5,5,4
11,"@AmazonHelp Dear Sir, 
One thing I am not getting  your customer care asking me to reply from an authenticated  Email Id from which I have ordered. __email__ is the only email Id I have in my life . I sent screenshots of my account also.",Account & Login,ESCALATE,I'm sorry you're experiencing this issue. This case requires further assistance from a customer support representative.,0.2934,4,4,5,5,5,4,"Appropriate escalation response for ambiguous or low-confidence query; polite, empathetic, zero unsupported claims, clear handover to human agent.",4,4,5,5,5,4
12,"@117795 hey guys, my order is missing. No sign of your messenger nor of any of the items I paid for. What’s up? It’s way past the delivery window.",Delivery & Tracking,SUGGESTED_RESPONSE,@130716 Sorry to hear this. Can you contact us here:  https://t.co/JzP7hlA23B so we can take a look at what options we have? ^MI,0.3061,3,3,3,4,4,3,Moderate relevance. The historical reply provides standard assistance link but does not fully resolve all specific customer nuances.,4,4,4,5,4,4
13,Not sure I’ll be renewing my @115830 @amazonhelp Prime membership now. https://t.co/YPbw9akaRF,Prime Membership & Benefits,SUGGESTED_RESPONSE,"@468403 I'm very sorry to hear this, Lisa. Has your order still not arrived? Most deliveries can be made until 21:00. ^TH",0.345,4,4,4,5,4,4,Relevant support response grounded in historical brand reply. Provides helpful guidance though slightly generic.,4,4,4,5,4,4
