gold_id,customer_tweet_id,customer_text,brand_reply,candidate_intent,gold_intent,review_notes
1,2770691.0,Ordered a @2499 drill bit set only available on #AmazonPrime so signed up and expected next day delivery. Now 7 days later and been told the parcel is lost and I can't order a replacement! WTF @115830 @115821 ???? https://t.co/CMB12hz2W9,"@774540 I am deeply sorry for this Jonny, it is obviously not been a great experience for you. Have you been in touch with our customer services to check what further options are available? ^SM",Returns & Refunds,,
2,1724742.0,@AmazonHelp can you tell me why my prime parcel has not arrived today and is not even with the courier yet?,"@121279 Uh oh! Sounds like we're missing the mark. What was the promised date of the delivery, Sian? Please let us know! ^JD",Delivery & Tracking,,
3,1677157.0,"@115850 Order# 402-8829003-3841156, Refund yet not received","@404282 Please don't provide your order number, we consider it to be personal info. Our Twitter page is visible to the public.^MP 2/2",Order Management,,
4,141937.0,"@115830 my Echo is not working as advertised and the chat team are useless. Have even provided an incorrect contact number. I am so angry right now, please help.","@148037 Hi, I am very sorry to hear this. Can you share with us what you were advised when reaching out to us ? ^CR",Digital Services & Devices,,
5,2287983.0,"@115850 is getting worse day by day. Like an idiot I take prime subscription. Firstly they don’t deliver  the product and then message me that they attempted calling my phone and couldn’t get through. Excuse me guys accept can’t deliver in time just don’t lie.
#280 character",@664735 I'm sorry for the delay in delivery of the product. Have you reported this to our support here: https://t.co/vlvfJrlYEH? ^AH,Prime Membership & Benefits,,
6,643873.0,@AmazonHelp @AmazonHelp  all i want is to reset my password with otp to be sent on phone number instead of email address.,@272847 account until we receive your details via secured link. Appreciate your understanding. 2/2 ^MJ,Account & Login,,
7,2794276.0,"@117795 hey guys, my order is missing. No sign of your messenger nor of any of the items I paid for. What’s up? It’s way past the delivery window.",@213876 That's odd! We'd like to help! Have you had the chance to reach to us through the app for more insight?  ^HM,Payment & Charges,,
8,538473.0,@AmazonHelp I tried the chat team earlier. They said someone would email me. So will wait and see what they say I guess. Is there a way to cast to the Echo from the App?,"@244839 Great, please keep us informed on the resolution. In the meantime, you can stream from the App to the Echo. You can find out more information here: https://t.co/NUpObEdb4e. ^PJ",Digital Services & Devices,,
9,2770651.0,Setting up Amazon Echo Plus is a breeze! And adding skills to do various things is easier. Adding home devices to control is simple too! 👌👌👌,@181569 Glad to know that you're enjoying with Echo plus. What was the first thing you asked Alexa ? ^RI,Digital Services & Devices,,
10,868597.0,"@AmazonHelp hi, i've order a book that qualifies for free delivery however i need to quicker than the estimated delivery date 1/2","@326241 Hi, Emily! I'd love to help! Is the order being dispatched by Amazon or a seller?https://t.co/aaDyEz1VgE ^RM",Order Management,,
11,89203.0,"@AmazonHelp  - dear Amazon help - HELP! I'm dealing with Amazon for more than over a week now trying to cancel my order that has been partially paid with a giftcard and partially with a creditcard, but Amazon does not accept the creditcard payment 1/2",@135293 Sorry to hear hat your account is blocked. Have you received an email from the Accounts Specialist team about this? We won't be able to access your account until it has been reviewed by an Account Specialist. ^RS,Payment & Charges,,
12,2447789.0,"@115850 I placed an order with Amazon.in on October 17th and the money got deducted the same day. The order was supposed to deliver on 31st October, but it is 14th Nov today and I still have not received the product.
Where is my stuff @115850 ?",@701660 I'm sorry that you haven't received your order yet. Have you reported this to our support here: https://t.co/vlvfJr4nN9? ^AH,Product Problems,,
13,2268863.0,@119625 Unable to join prime using primevideo app. Just presents a blank screen when I click on Join Prime.,@660252 Apologies for the trouble. Please contact us here: https://t.co/vlvfJr4nN9 and we'll help you with this. ^ZH,Digital Services & Devices,,
14,325453.0,@AmazonHelp who do I need to talk to about refunding Saturday shipping? I'm not paying 30 bucks extra if it won't be here till Monday,@193523 We'd be happy to look into your options with you here: https://t.co/EKXRLsnxJu ^AF,Returns & Refunds,,
